STT,Quan,Duong,Link,Lng,Lat
144,Quận Thủ Đức,Cầu vượt Bình Phước 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58746536b807da0011e33cdc,106.7235196,10.86594978
145,Quận Tân Bình,Lê Văn Sỹ - Nguyễn Trọng Tuyển,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5875cb72b807da0011e33d0c,106.6623598,10.79873003
146,Quận 12,QL 22 - Nguyễn Ảnh Thủ 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589b3705b3bf7600110283bd,106.6073853,10.85513388
147,Huyện Bình Chánh,Quốc lộ 1-Nguyễn Hữu Trí 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58afccadbd82540010390c3f,106.5964633,10.6966335
148,Quận 2,Vành Đai Đông - Cầu Kỳ Hà 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58744693b807da0011e33c9e,106.7592037,10.75394715
149,Quận Thủ Đức,Cầu vượt Bình Phước 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5874656eb807da0011e33cde,106.7242116,10.86474335
150,Quận Tân Bình,Lê Văn Sỹ - Phạm Văn Hai,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587c87e8b807da0011e33d45,106.6646558,10.796891
151,Quận 6,Võ Văn Kiệt - Cao Văn Lầu 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481296,106.6508424,10.74424982
152,Quận 12,Trường Chinh - Phan Văn Hớn (Q12-HM),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d7c2e6c1e33c00112b321e,106.6254258,10.82698334
153,Quận 2,Đồng Văn Cống - Phan Văn Đáng,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48129e,106.7572618,10.7785053
154,Quận Thủ Đức,Quốc lộ 1 - Bồi Hoàn (Đường 14),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58746371b807da0011e33cd1,106.7759514,10.86967967
155,Quận 8,Tùng Thiện Vương - Cầu Nhị Thiên Đường,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58b555ac17139d0010f35d59,106.6560727,10.74438158
156,Quận Thủ Đức,Quốc lộ 1 - ĐH Nông Lâm 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587460aab807da0011e33cc2,106.788429,10.86719308
157,Huyện Bình Chánh,Quốc lộ 1 - Trần Đại Nghĩa,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48129d,106.600669,10.72239805
158,Quận 2,Cát Lái cầu A,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48127d,106.7527074,10.80498477
159,Quận 6,Võ Văn Kiệt - Phạm Phú Thứ 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481292,106.6455209,10.74136164
160,Quận 5,Hải Thượng Lãn Ông - Cầu Chà Và,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48128d,106.6600317,10.75058474
161,Huyện Nhà Bè,Cầu Cái Tâm (Hướng HCM),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c6bdba6bfb500119400a7,106.5780956,10.69483601
162,Quận Tân Bình,Trường Chinh - Tân Kỳ Tân Quý,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=586e25e1f9fab7001111b0ae,106.6359186,10.80377282
163,Quận 7,HTPhat-LTLu 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=585b284ac3f96200127dc500,106.727795,10.75453214
164,Quận 1,Đường hầm - Đầu Quận 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481294,106.7020404,10.76753344
165,Quận 2,Mai Chí Thọ - Lương Định Của 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481280,106.7514467,10.79262798
166,Quận Bình Thạnh,Phan Đăng Lưu - Đinh Tiên Hoàng 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587ed91db807da0011e33d4e,106.6979635,10.80248184
167,Quận 1,Võ Văn Kiệt - Trần Đình Xu 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48128a,106.6925454,10.75877989
168,Quận 1,Nam Kỳ Khởi Nghĩa -Nguyễn Thị Minh Khai 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58b5752e17139d0010f35d5f,106.695056,10.77937482
169,Quận 2,Mai Chí Thọ - Trần Não 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58175c81edeb6c0012a2d5c2,106.7273766,10.77572285
170,Huyện Bình Chánh,Quốc lộ 1-Đinh Đức Thiện 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58aff2c6bd82540010390c55,106.5697432,10.665458
171,Quận 2,Nguyễn Thị Định - Đường A,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c4812a0,106.7835903,10.76278516
172,Quận Bình Thạnh,Cầu Sài Gòn (Q2-Bình Thạnh),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58abc0cbbd82540010390ba6,106.7245173,10.79805554
173,Huyện Bình Chánh,Quốc lộ 1-Bùi Thanh Khiết 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58afea5dbd82540010390c4d,106.5804774,10.67419315
174,Quận 12,Cầu Phú Long (Bình Dương),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589b46b3b3bf7600110283d0,106.6949701,10.89863214
175,Quận 3,Nam Kỳ Khởi Nghĩa -Nguyễn Thị Minh Khai 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58af8eb2bd82540010390c30,106.6950828,10.77975424
176,Quận Thủ Đức,Quốc lộ 1 - Cầu vượt Linh Xuân,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58746314b807da0011e33cce,106.7650402,10.87333049
177,Quận 2,Cầu Sài Gòn (Q2-Bình Thạnh) 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58abbee5bd82540010390ba2,106.7307186,10.79966799
178,Quận Tân Bình,Trường Chinh - Bảy Hiền 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58747923b807da0011e33cf5,106.6531813,10.79288618
179,Quận 8,Tạ Quang Bửu - Phạm Hùng 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5875d4f8b807da0011e33d1a,106.6709375,10.73727176
180,Quận 2,Nguyễn Thị Định - Lê Phụng Hiểu,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=583f976361cfea0012cf68f9,106.784513,10.76195776
181,Quận Tân Bình,Cộng Hòa - Trường Chinh,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=586e1f18f9fab7001111b0a5,106.634953,10.80706614
182,Quận 7,Nguyễn Hữu Thọ - Nguyễn Thị Thập 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df8381c062921100c143e2,106.7009461,10.74049729
183,Quận 1,Nguyễn Hữu Cảnh - Tôn Đức Thắng,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58af994abd82540010390c37,106.7061925,10.78264733
184,Quận Tân Bình,Phổ Quang - Huỳnh Lan Khanh,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58df4adedc195800111e04b4,106.6665924,10.80496896
185,Quận Bình Tân,Quốc lộ 1 - Nguyễn Thị Tú,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=584e738361cfea0012cf6951,106.6009104,10.81612916
186,Quận 2,Nguyễn Thị Định - Đường C,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=583f958161cfea0012cf68f5,106.7798728,10.76602095
187,Quận 9,XLHN - Đường D400,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58b5528e17139d0010f35d52,106.8077731,10.87194497
188,Quận Tân Bình,Phan Đình Giót-Phan Thúc Duyện,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df85bdc062921100c143e8,106.6656429,10.801507
189,Huyện Bình Chánh,Bùi Thanh Khiết - Chợ Đệm 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d7b5a7c1e33c00112b320a,106.5762877,10.6859644
190,Huyện Bình Chánh,Quốc lộ 1-Bùi Thanh Khiết 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58aff01fbd82540010390c50,106.5802628,10.6737029
191,Quận 2,Xa lộ HN - Thảo Điền,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587c782db807da0011e33d3b,106.7382771,10.80101168
192,Quận Phú Nhuận,Hoàng Văn Thụ - Hồ Văn Huê,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587c8c20b807da0011e33d47,106.674934,10.79944667
193,Quận 8,Hưng Phú - Chánh Hưng 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58744fb0b807da0011e33cc0,106.6691297,10.74638958
